size;duration;mean;reps
9540;353;7.06;50
9560;366;7.32;50
9580;366;7.32;50
9600;365;7.3;50
9620;368;7.36;50
9640;367;7.34;50
9660;352;7.04;50
9680;347;6.94;50
9700;362;7.24;50
9720;351;7.02;50
9740;368;7.36;50
9760;366;7.32;50
9780;350;7;50
9800;373;7.46;50
9820;375;7.5;50
9840;376;7.52;50
9860;368;7.36;50
9880;370;7.4;50
9900;357;7.14;50
9920;374;7.48;50
9940;367;7.34;50
9960;383;7.66;50
9980;380;7.6;50
