size; duration; mean; reps
453000;0.277663;2.77E-4;1000
454000;0.236878;2.36E-4;1000
455000;0.217304;2.17E-4;1000
456000;0.210448;2.1E-4;1000
457000;0.251829;2.51E-4;1000
458000;0.212345;2.12E-4;1000
459000;0.199927;1.99E-4;1000
460000;0.297745;2.97E-4;1000
461000;0.231827;2.31E-4;1000
462000;0.211831;2.11E-4;1000
463000;0.195015;1.95E-4;1000
464000;0.206912;2.06E-4;1000
465000;0.217457;2.17E-4;1000
466000;0.199031;1.99E-4;1000
467000;0.207969;2.07E-4;1000
468000;0.207795;2.07E-4;1000
469000;0.221437;2.21E-4;1000
470000;0.230835;2.3E-4;1000
471000;0.23967;2.39E-4;1000
472000;0.226206;2.26E-4;1000
473000;0.198287;1.98E-4;1000
474000;0.209449;2.09E-4;1000
475000;0.193971;1.93E-4;1000
476000;0.218782;2.18E-4;1000
477000;0.374878;3.74E-4;1000
478000;0.210408;2.1E-4;1000
479000;0.355039;3.55E-4;1000
480000;0.225385;2.25E-4;1000
481000;0.251249;2.51E-4;1000
482000;0.220012;2.2E-4;1000
483000;0.299614;2.99E-4;1000
484000;0.230202;2.3E-4;1000
485000;0.223007;2.23E-4;1000
486000;0.212549;2.12E-4;1000
487000;0.225882;2.25E-4;1000
488000;0.213118;2.13E-4;1000
489000;0.202209;2.02E-4;1000
490000;0.274195;2.74E-4;1000
491000;0.241423;2.41E-4;1000
492000;0.201798;2.01E-4;1000
493000;0.324049;3.24E-4;1000
494000;0.196086;1.96E-4;1000
495000;0.218227;2.18E-4;1000
496000;0.222967;2.22E-4;1000
497000;0.21442;2.14E-4;1000
498000;0.224348;2.24E-4;1000
499000;0.21809;2.18E-4;1000
500000;0.239597;2.39E-4;1000
501000;0.217078;2.17E-4;1000
502000;0.22143;2.21E-4;1000
503000;0.191846;1.91E-4;1000
504000;0.2106;2.1E-4;1000
505000;0.277332;2.77E-4;1000
506000;0.211964;2.11E-4;1000
507000;0.218347;2.18E-4;1000
508000;0.225621;2.25E-4;1000
509000;5.212906;0.005212;1000
510000;0.235998;2.35E-4;1000
511000;0.25355;2.53E-4;1000
512000;0.414068;4.14E-4;1000
513000;0.207837;2.07E-4;1000
514000;0.251497;2.51E-4;1000
515000;0.458302;4.58E-4;1000
516000;0.232626;2.32E-4;1000
