Size; Duration;Mean;Median;Min;Max
206000;525.667955;5.256679;5.083542;12.967709;8.110371
207000;527.902380;5.279023;5.121042;13.173875;8.290739
208000;530.040792;5.300407;5.134708;13.058208;8.163628
209000;530.217711;5.302177;5.135208;13.105416;8.202056
210000;538.637703;5.386377;5.167583;13.251084;8.292144
211000;535.666746;5.356667;5.180500;13.251625;8.337275
212000;538.560748;5.385607;5.190042;13.334666;8.406680
213000;532.538045;5.325380;5.163334;13.278917;8.349287
214000;541.432792;5.414327;5.249250;13.389625;8.385316
215000;561.355455;5.613554;5.287583;13.648458;9.788307
216000;550.402669;5.504026;5.319333;13.631583;8.530492
217000;550.717080;5.507170;5.341958;13.797417;8.690416
218000;555.062538;5.550625;5.382416;13.741000;8.586611
219000;564.409294;5.644092;5.423917;13.913000;8.706920
220000;566.719207;5.667192;5.455917;14.026708;8.831401
221000;561.001792;5.610017;5.459916;13.910000;8.720240
222000;568.908042;5.689080;5.502000;14.037042;8.753131
223000;580.314865;5.803148;5.527792;14.046666;8.628437
224000;572.967337;5.729673;5.543041;14.481209;9.133093
225000;577.291790;5.772917;5.548542;14.187417;8.855383
226000;575.005052;5.750050;5.572334;14.382334;9.100580
227000;579.186500;5.791865;5.581667;14.564042;9.186647
228000;580.114078;5.801140;5.602750;14.375208;8.995018
229000;580.164420;5.801644;5.609709;14.350083;8.962836
230000;585.059251;5.850592;5.659250;14.408500;8.958580
231000;589.915880;5.899158;5.704375;14.573000;9.078995
232000;592.397991;5.923979;5.747292;14.616875;9.089889
233000;593.629922;5.936299;5.768208;14.683167;9.141869
234000;599.713969;5.997139;5.805375;14.741458;9.152343
235000;613.036369;6.130363;5.844042;14.827916;9.085754
236000;624.030504;6.240305;5.897125;15.293875;9.530584
237000;619.804289;6.198042;5.907125;15.477417;9.758077
238000;609.925625;6.099256;5.915666;15.030417;9.334666
239000;620.191212;6.201912;5.946208;15.062625;9.242444
240000;616.206330;6.162063;5.971292;15.119000;9.345899
241000;628.877951;6.288779;5.976250;15.126916;9.589790
242000;618.549040;6.185490;6.001709;15.196500;9.407093
243000;630.480912;6.304809;6.025542;15.302084;9.359359
244000;633.234789;6.332347;6.047000;16.169292;10.422925
245000;635.838123;6.358381;6.049667;15.393791;9.449906
246000;626.950244;6.269502;6.047708;15.944042;10.124371
247000;631.484919;6.314849;6.108792;15.694333;9.796417
248000;635.760170;6.357601;6.143834;15.609750;9.674282
249000;635.888791;6.358887;6.167666;15.633750;9.656994
